Volume,Issue,Page no.,Scan Quality,Contents Title,Author,Form ,Page layout,Illustrated,What illustration,Advertisment, Interactive ,What interactive ,Event 
1,1,1,Good,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,"Contents, Credits",Columns,Y,Photograph,N,N,N/A,N
,,3,Ok,About Sappho,N/A,Sappho,Columns,N,N/A,N,N,N/A,N
,,4,Ok,Homage to Homophiles,N/A,Sappho,Letters diagram,Y,Letters,N,N,N/A,N
,,5,Ok,Holy Matrimony!,Elsa Beckett,Story ,Columns ,Y,Border,N,N,N/A,N
,,6,Ok,N/A,Elsa Beckett,Story ,Columns,Y,Cheque Graphic,Sappho promotion graphics,N,N/A,N
,,7,Ok,Person or Pattern?,jax,Anecdote,Columns,Y,Mabel and Mildred,N,N,N/A,N
,,8,Poor,Harriette Frances Poems,Harriette Frances,Poetry,Columns,Y,Border,N,N,N/A,N
,,9,Ok,N/A,Harriette Frances,Poetry,Columns,Y,Border,N,N,N/A,N
,,10,Good,Competition,Anonymous subscriber,Competition,Paragraph,Y,Photograph,N,Y,Competition,Competition
,,11,Good,R. A. P.,Sappho,Essay,Columns,Y,Border,N,N,N/A,N
,,12,Good,N/A,Sappho,Essay ,Columns,Y,Mabel and Mildred,N,N,N/A,N
,,13,Good,Quiz/ Everybody's Talking,Robyn,"Quiz, Quotes","Columns, Divided",Y,Question mark graphics,N,Y,Quiz,N
,,14,Good,N/A,N/A,Sappho,"Paragragh, Divided",Y,Advert,"Donors, Fake ad.",Y,Subscription,N
,,15,Good,Sapphoscope,N/A,"Sapphoscope, Sappho","Columns, Divided",N,N/A,"Meetings, Women's Liberation Workshop ",Y,Sapphoscope,Meetings for Sappho and advertised group organisations.
,,16,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,3,1,Poor,N/A,Murray Marr,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,"Contents, Credits","Paragraph, Divided, Columns",Y,Comic,N,N,N/A,N
,,3,Good,Our Problems or Theirs,N/A,Essay,Columns,N,N/A,N,N,N/A,N
,,4,Good,N/A,N/A,Essay,Columns,Y,Advert,Sappho promotion graphics,N,N/A,N
